wellname,time,Simulated,Observed
BV,2019-04-01,132.730911255,138.043548584
BV,2019-05-01,132.576324463,136.053543091
BV,2019-06-01,132.947280884,135.093536377
BV,2019-07-01,131.159118652,134.293548584
C1,2009-01-01,138.412582397,140.966140747
C1,2009-02-01,138.25402832,142.799484253
C1,2009-03-01,141.521270752,149.859481812
C1,2009-04-01,143.14163208,148.874481201
C1,2009-05-01,143.320632935,145.599472046
C1,2009-06-01,143.71836853,147.379486084
C1,2009-07-01,140.659790039,150.274475098
C1,2009-08-01,137.464157104,143.349472046
C1,2009-09-01,134.637329102,141.124481201
C1,2009-10-01,132.559692383,140.874481201
C1,2009-11-01,132.169219971,141.199478149
C1,2009-12-01,132.407470703,141.449478149
C1,2010-01-01,136.110397339,143.074478149
C1,2010-02-01,140.472579956,150.974472046
C1,2010-03-01,142.798019409,154.079483032
C1,2010-04-01,143.847488403,154.549484253
C1,2010-05-01,144.621612549,154.199478149
C1,2010-06-01,144.641113281,152.979476929
C1,2010-07-01,142.040390015,149.179473877
C1,2010-08-01,139.332366943,145.199478149
C1,2010-11-01,139.574386597,141.749481201
C1,2010-12-01,141.91015625,144.049484253
C1,2011-01-01,143.822982788,152.749481201
C1,2011-02-01,144.410232544,153.649475098
C1,2011-03-01,145.279968262,156.699478149
C1,2011-04-01,145.917236328,156.959472656
C1,2011-05-01,145.633117676,154.449478149
C1,2011-06-01,145.558837891,153.27947998
C1,2011-07-01,145.537109375,149.619476318
C1,2011-08-01,144.562423706,145.924484253
C1,2011-09-01,141.671646118,143.149475098
C1,2011-10-01,139.656234741,141.299484253
C1,2011-11-01,141.005615234,141.079483032
C1,2011-12-01,143.152603149,141.199478149
C1,2012-01-01,141.611846924,142.879486084
C1,2012-02-01,143.619750977,145.679473877
C1,2012-03-01,144.398925781,148.024475098
C1,2012-04-01,145.233901978,153.019485474
C1,2012-05-01,145.595916748,152.066146851
C1,2012-06-01,143.299743652,148.174484253
C1,2012-07-01,140.680679321,144.949478149
C1,2012-08-01,138.106445312,141.966140747
C1,2012-11-01,134.205795288,140.799484253
C1,2012-12-01,139.26701355,148.6328125
C1,2013-01-01,143.151000977,153.899475098
C1,2013-02-01,144.041656494,153.339477539
C1,2013-03-01,144.21762085,152.724472046
C1,2013-04-01,144.39390564,149.824478149
C1,2013-05-01,144.599822998,146.459472656
C1,2013-06-01,142.249298096,143.574478149
C1,2013-07-01,139.982910156,141.574478149
C1,2013-08-01,137.447616577,140.759475708
C1,2013-09-01,134.980072021,140.832809448
C1,2013-10-01,133.810043335,140.666152954
C1,2013-11-01,132.995651245,140.299484253
C1,2013-12-01,132.717102051,140.866149902
C1,2014-01-01,132.815124512,140.55947876
C1,2014-02-01,132.771789551,143.299484253
C1,2014-03-01,138.01763916,147.099472046
C1,2014-04-01,141.213607788,147.649475098
C1,2014-05-01,142.830856323,148.639480591
C1,2014-06-01,141.393386841,147.859481812
C1,2014-07-01,138.399871826,143.999481201
C1,2014-08-01,135.310058594,142.099472046
C1,2014-10-01,130.70552063,140.874481201
C1,2014-11-01,130.014328003,140.599472046
C1,2014-12-01,130.964385986,144.649475098
C1,2015-01-01,138.001403809,149.524475098
C1,2015-02-01,140.557739258,150.574478149
C1,2015-03-01,142.564102173,151.849472046
C1,2015-04-01,142.727844238,148.339477539
C1,2015-05-01,143.211700439,145.719482422
C1,2015-06-01,140.573989868,143.999481201
C1,2015-07-01,137.660644531,142.849472046
C1,2015-08-01,134.613327026,140.599472046
C1,2015-09-01,131.461044312,140.566146851
C1,2015-10-01,129.865036011,139.149475098
C1,2015-12-01,128.781433105,140.966140747
C1,2016-01-01,135.484924316,144.832809448
C1,2016-02-01,139.501831055,149.479476929
C1,2016-03-01,141.258132935,153.332809448
C1,2016-04-01,143.536468506,154.619476318
C1,2016-05-01,143.697174072,153.374481201
C1,2016-06-01,143.338653564,149.699478149
C1,2016-07-01,140.123458862,145.799484253
C1,2016-08-01,136.89515686,147.6328125
C1,2016-09-01,133.816238403,149.619476318
C1,2016-10-01,131.829925537,150.259475708
C1,2016-11-01,136.557907104,149.124481201
