 sp  tstp    time
179     2  5447.0
179     2  5447.0
179     2  5447.0
179     2  5447.0
180     1  5462.5
180     1  5462.5
180     1  5462.5
180     1  5462.5
180     2  5478.0
180     2  5478.0
180     2  5478.0
180     2  5478.0
181     1  5493.0
181     1  5493.0
181     1  5493.0
181     1  5493.0
181     2  5508.0
181     2  5508.0
181     2  5508.0
181     2  5508.0
182     1  5523.5
182     1  5523.5
182     1  5523.5
182     1  5523.5
182     2  5539.0
182     2  5539.0
182     2  5539.0
182     2  5539.0
183     1  5554.0
183     1  5554.0
183     1  5554.0
183     1  5554.0
183     2  5569.0
183     2  5569.0
183     2  5569.0
183     2  5569.0
184     1  5584.5
184     1  5584.5
184     1  5584.5
184     1  5584.5
184     2  5600.0
184     2  5600.0
184     2  5600.0
184     2  5600.0
185     1  5615.5
185     1  5615.5
185     1  5615.5
185     1  5615.5
185     2  5631.0
185     2  5631.0
185     2  5631.0
185     2  5631.0
186     1  5646.0
186     1  5646.0
186     1  5646.0
186     1  5646.0
186     2  5661.0
186     2  5661.0
186     2  5661.0
186     2  5661.0
187     1  5676.5
